country,help1m,help2m,help3m,help4m,help5m,help6m,help7m,voice1m,voice2m,voice3m,voice4m,voice5m
NZ,6,6,6,6,6,6,6,5,5,5,5,5
NZ,5,5,5,5,5,4,5,6,6,6,6,6
NZ,6,6,6,6,6,6,6,6,7,7,7,6
NZ,5,4,5,5,5,5,5,5,4,4,4,3
NZ,6,6,5,4,4,4,4,6,6,5,6,6
NZ,4,5,5,6,6,6,6,5,5,5,5,5
NZ,2,4,1,5,6,6,5,6,2,1,4,5
NZ,7,7,6,7,7,7,7,7,7,7,7,7
NZ,5,5,5,5,4,4,3,4,3,5,4,3
NZ,5,4,3,5,5,4,5,3,3,6,4,3
NZ,5,5,5,6,6,6,6,6,6,7,6,6
NZ,6,2,6,6,6,6,6,3,4,4,6,3
NZ,6,4,6,7,7,7,6,7,7,6,7,7
NZ,5,6,6,5,5,4,3,5,6,6,6,6
NZ,7,6,7,7,7,6,6,6,5,5,5,6
NZ,7,4,5,7,7,4,6,6,6,5,6,5
NZ,5,6,6,6,6,6,6,6,5,5,6,6
NZ,4,5,6,5,5,5,4,4,5,6,6,5
NZ,7,6,6,6,6,6,5,7,7,6,5,7
NZ,6,6,5,6,5,6,6,6,4,6,5,6
NZ,6,6,7,7,7,6,7,7,5,5,7,7
NZ,6,6,6,6,6,6,5,7,5,4,5,7
NZ,6,6,6,6,6,6,6,6,6,6,6,6
NZ,5,5,6,5,6,5,4,4,4,4,5,4
NZ,5,5,6,6,6,6,6,6,5,7,6,6
NZ,6,3,5,5,6,5,5,6,6,4,6,5
NZ,6,6,6,6,6,6,5,5,5,4,5,5
NZ,5,2,5,5,6,4,5,5,5,6,6,6
NZ,6,6,4,6,6,7,6,6,6,6,6,6
NZ,5,6,6,6,5,6,6,6,5,6,5,6
NZ,5,6,6,6,6,6,5,5,6,5,6,6
NZ,6,6,4,6,5,5,6,4,4,4,5,4
NZ,6,4,6,6,6,6,6,4,5,4,4,5
NZ,7,6,6,7,7,7,7,5,4,5,6,5
NZ,6,6,6,6,6,6,6,6,6,5,5,6
NZ,7,7,7,7,7,7,6,3,5,5,4,5
NZ,5,5,5,6,6,6,6,5,3,5,6,6
NZ,5,6,3,6,6,6,5,3,3,2,6,5
NZ,6,5,6,7,7,7,7,7,7,7,7,7
NZ,4,6,6,6,5,6,5,3,4,4,5,3
NZ,6,6,5,6,6,6,6,5,5,5,5,6
NZ,6,5,5,5,6,5,5,6,6,5,5,5
NZ,5,5,6,6,5,6,6,5,5,5,5,5
NZ,6,6,4,5,5,6,5,6,6,5,6,5
NZ,6,6,5,7,7,7,7,7,6,6,5,6
NZ,7,7,5,7,6,5,7,7,7,5,6,7
NZ,6,7,6,6,6,6,6,5,5,4,5,5
NZ,7,7,5,6,6,6,6,6,6,6,6,6
NZ,6,7,6,6,6,7,7,6,6,6,6,6
NZ,6,6,5,6,5,6,4,5,6,6,6,6
NZ,6,6,6,6,6,6,6,6,6,6,6,6
NZ,6,7,6,7,7,7,7,6,6,5,6,6
NZ,6,5,2,6,6,3,4,4,4,4,5,5
NZ,3,4,3,6,4,4,5,2,6,7,6,4
NZ,5,2,2,2,3,3,3,5,4,7,4,7
NZ,7,7,5,7,6,6,4,6,5,6,5,6
NZ,2,2,1,6,3,6,4,3,4,6,6,4
NZ,7,7,4,7,5,7,5,5,3,4,3,4
NZ,6,5,6,6,5,6,4,6,6,6,6,6
NZ,5,5,5,6,5,6,6,6,3,3,6,6
NZ,6,7,6,6,6,7,6,6,6,6,6,6
NZ,5,5,6,4,4,6,6,6,5,3,5,5
NZ,3,7,3,7,5,7,3,6,3,6,6,3
NZ,6,6,6,6,6,6,6,7,7,7,5,6
NZ,5,5,5,5,5,5,5,5,5,5,5,5
NZ,6,5,6,6,6,6,6,6,7,7,6,6
NZ,7,5,7,6,7,7,7,6,7,7,6,7
NZ,5,7,5,7,7,7,5,5,4,5,6,6
NZ,4,4,6,6,6,6,6,5,5,5,6,6
NZ,6,5,6,6,6,6,6,4,4,5,5,4
NZ,3,2,1,5,4,2,2,2,2,6,5,2
NZ,5,6,7,7,7,7,6,6,6,6,7,6
NZ,6,7,6,7,7,7,6,6,7,6,6,7
NZ,5,5,5,6,6,7,6,6,6,6,6,6
NZ,5,5,7,6,6,6,6,6,4,5,7,5
NZ,5,7,4,6,5,6,5,6,6,6,6,6
NZ,4,4,4,5,5,4,5,4,4,4,4,4
NZ,5,5,6,6,5,6,6,5,5,6,6,6
NZ,5,6,4,5,6,5,3,4,4,4,5,5
NZ,4,4,3,6,6,6,6,5,3,4,3,5
NZ,4,5,5,5,5,5,5,5,6,6,5,5
NZ,7,7,5,7,7,7,5,5,4,6,6,6
NZ,7,7,7,7,7,7,7,7,7,7,7,7
NZ,7,7,7,7,7,7,7,4,4,7,7,7
NZ,7,7,7,6,7,6,7,7,7,7,6,7
NZ,6,6,6,6,6,6,6,6,6,6,6,6
NZ,5,6,5,6,5,7,6,6,5,7,5,7
NZ,4,6,2,5,4,6,6,5,4,4,4,5
NZ,6,7,1,6,6,6,6,7,6,7,6,7
NZ,1,4,3,5,3,3,5,4,2,6,6,4
NZ,6,5,5,5,5,6,4,2,3,4,5,2
NZ,5,7,6,6,7,7,7,5,6,4,6,2
NZ,6,5,7,5,5,5,5,5,5,5,5,5
NZ,5,5,7,7,6,7,7,6,5,7,7,6
NZ,6,6,4,6,6,6,4,3,3,3,2,1
NZ,6,2,1,6,5,4,6,3,5,4,5,4
NZ,3,6,5,4,4,4,4,4,4,4,4,4
NZ,2,3,3,5,5,5,5,3,4,2,3,2
NZ,6,6,6,6,6,7,7,7,5,4,4,4
NZ,2,2,2,4,4,4,3,4,4,4,4,4
NZ,2,2,1,1,1,1,3,2,3,3,2,2
NZ,5,3,5,5,4,4,5,5,4,4,5,3
NZ,2,5,5,4,4,4,5,6,6,6,5,6
NZ,4,5,4,4,5,3,4,4,5,6,5,6
NZ,6,5,6,5,6,5,6,6,7,6,5,6
NZ,3,5,3,4,3,5,4,4,5,4,3,5
NZ,5,6,6,5,6,6,6,6,6,6,6,6
NZ,6,7,7,6,6,7,6,6,7,7,7,7
NZ,6,6,6,6,6,6,6,6,6,6,6,6
NZ,6,6,6,6,6,6,6,5,5,5,5,5
NZ,6,6,6,6,6,6,6,6,6,6,6,6
NZ,7,6,6,6,5,6,6,6,7,6,5,5
NZ,6,6,6,6,6,6,6,6,6,6,6,6
NZ,7,4,7,7,7,6,6,7,7,6,6,6
NZ,5,4,5,5,5,5,5,6,6,6,6,6
NZ,6,5,6,6,5,5,6,5,4,5,5,4
NZ,1,2,2,3,2,1,1,1,2,7,7,5
NZ,5,6,3,5,6,6,6,6,5,5,5,5
NZ,6,6,6,6,6,6,6,6,6,6,6,6
NZ,4,5,7,7,7,7,7,5,5,5,6,7
NZ,5,4,5,5,5,4,4,5,4,4,5,4
NZ,5,5,7,7,7,6,2,7,6,7,7,7
NZ,6,5,6,6,6,5,6,6,6,6,6,6
NZ,6,6,6,6,6,6,6,6,6,6,6,6
NZ,5,5,4,6,5,5,4,6,6,5,6,6
NZ,7,7,7,6,6,6,5,6,6,5,6,6
NZ,1,1,1,1,1,4,4,4,4,4,4,4
NZ,5,2,5,6,6,5,5,3,4,5,6,6
NZ,7,7,6,7,7,7,7,6,7,7,6,6
NZ,5,4,5,3,4,5,4,6,6,6,4,4
NZ,6,7,5,6,6,6,6,5,5,5,6,5
NZ,5,6,6,6,6,6,6,6,6,6,6,6
NZ,6,4,5,6,5,5,5,4,4,4,4,3
NZ,3,3,4,5,5,5,4,5,3,6,5,5
NZ,5,5,7,6,6,5,3,6,7,7,5,6
NZ,6,2,2,2,2,4,3,5,2,2,2,4
NZ,7,7,7,7,7,7,7,5,6,6,6,6
NZ,7,7,7,7,6,6,6,6,6,6,7,7
NZ,6,6,6,6,6,6,6,6,6,6,5,5
NZ,5,5,6,6,6,6,6,6,6,6,6,6
NZ,7,6,7,5,4,6,4,3,2,5,4,1
NZ,3,3,2,2,4,4,5,4,2,3,3,1
NZ,6,6,5,4,4,5,3,4,3,4,5,3
NZ,3,5,4,3,5,3,7,2,3,4,2,4
NZ,6,7,3,1,1,4,7,1,5,5,3,7
NZ,3,5,2,6,4,5,5,2,2,3,3,6
NZ,5,1,7,7,7,7,5,4,2,2,5,5
NZ,6,6,6,5,6,5,7,7,7,7,6,7
NZ,4,3,4,4,4,4,5,4,5,5,5,4
NZ,6,6,6,6,6,6,6,6,5,4,5,5
NZ,4,3,3,3,4,4,4,3,3,3,4,3
NZ,5,6,4,4,5,5,5,5,5,5,5,5
NZ,4,4,1,1,1,1,1,2,2,2,3,3
NZ,7,2,7,5,5,7,3,4,5,5,3,3
NZ,6,7,4,6,4,6,6,4,4,5,4,5
NZ,7,5,2,7,7,4,5,7,6,7,7,7
NZ,6,6,6,6,6,6,6,6,6,6,6,6
NZ,7,4,4,6,7,5,4,4,4,4,4,6
NZ,5,5,4,6,6,6,6,5,5,6,6,5
NZ,6,5,7,7,7,7,7,5,4,6,4,5
NZ,4,5,5,6,7,6,5,5,5,6,5,5
NZ,5,7,5,6,6,4,6,2,4,6,6,5
NZ,6,7,7,7,7,7,7,7,6,6,6,6
NZ,4,4,7,6,6,6,6,6,6,4,6,6
NZ,2,7,5,7,6,7,5,3,3,5,6,3
NZ,6,4,3,5,3,3,5,5,3,5,6,5
NZ,5,6,3,6,4,6,3,5,6,6,4,4
NZ,6,7,6,7,6,6,6,5,4,6,5,4
NZ,6,7,7,7,7,5,5,6,6,6,7,7
NZ,4,6,2,5,4,7,5,5,4,6,6,5
NZ,6,4,5,4,4,3,3,4,4,4,3,4
NZ,6,4,6,6,6,6,6,6,6,7,4,6
NZ,7,6,7,7,7,7,7,7,7,7,7,7
NZ,7,7,7,7,7,7,7,6,5,5,6,6
NZ,4,5,7,6,7,7,6,6,7,7,6,7
NZ,6,6,6,6,7,6,6,5,5,5,4,6
NZ,7,7,7,7,7,7,7,7,6,5,6,6
NZ,5,6,5,5,5,6,5,6,5,5,6,5
NZ,5,5,6,5,5,6,6,5,5,4,5,5
NZ,3,3,4,4,4,3,6,3,6,4,5,5
NZ,7,6,7,7,7,6,7,7,7,6,7,7
NZ,6,4,4,6,5,4,5,5,5,4,4,4
NZ,5,7,5,7,5,7,7,5,6,6,6,6
NZ,1,3,6,4,3,4,1,2,1,1,1,1
NZ,4,4,2,4,4,4,4,5,5,4,4,5
NZ,5,4,4,5,4,5,5,3,4,4,4,3
NZ,4,6,3,6,6,6,5,3,3,3,3,3
NZ,6,5,5,5,6,5,6,4,4,6,5,5
NZ,7,7,6,7,7,6,7,6,6,7,6,6
NZ,4,2,7,6,6,5,2,5,6,7,7,5
NZ,7,6,4,6,6,6,6,6,7,7,6,6
NZ,6,5,5,6,6,6,5,6,5,5,5,5
NZ,6,6,6,6,6,6,6,5,6,6,6,6
NZ,6,5,3,6,5,7,6,7,6,5,6,7
NZ,4,2,7,6,6,6,6,2,2,6,4,6
NZ,4,5,5,5,5,5,5,5,5,5,5,5
NZ,6,5,7,6,6,4,6,5,5,7,4,6
NZ,6,4,5,3,3,5,4,5,6,5,3,4
NZ,5,7,6,7,5,6,6,7,6,6,5,6
NZ,3,2,2,2,2,2,2,2,2,2,2,2
NZ,6,5,7,6,6,7,5,6,5,7,6,7
NZ,6,5,7,5,4,5,6,6,5,6,7,6
NZ,6,4,5,6,3,5,6,4,5,6,5,5
NZ,5,4,6,6,6,6,6,5,6,5,5,6
NZ,6,3,6,5,4,4,4,4,4,3,5,4
NZ,5,6,5,6,6,7,6,5,6,5,5,5
NZ,2,5,6,6,4,5,3,4,3,5,4,5
NZ,6,6,5,6,6,6,6,6,5,6,6,6
NZ,5,4,3,3,5,6,6,5,4,4,7,6
NZ,6,7,5,7,7,7,7,4,5,6,5,5
NZ,7,6,6,7,6,6,6,6,6,6,6,6
NZ,7,7,7,7,7,7,7,7,7,7,7,7
NZ,5,3,6,6,6,5,6,5,4,4,6,5
NZ,6,7,6,7,5,6,5,6,5,6,6,5
NZ,6,5,5,5,5,6,7,7,6,6,5,5
NZ,5,4,5,7,5,4,5,4,5,4,5,4
NZ,6,7,7,6,6,7,7,6,7,5,6,7
NZ,6,4,6,3,6,4,6,4,4,5,6,6
NZ,5,5,6,7,7,6,5,4,3,5,5,4
NZ,7,7,7,7,7,7,7,7,7,7,7,7
NZ,6,7,7,7,7,7,6,7,7,7,7,7
NZ,5,4,6,6,6,5,5,4,4,4,5,5
NZ,5,7,6,6,7,7,7,7,6,7,7,7
NZ,6,6,7,7,7,6,7,6,7,5,6,5
NZ,5,5,5,7,6,7,7,5,6,6,5,5
NZ,5,6,6,6,6,6,6,5,5,5,6,5
NZ,6,6,6,6,6,6,6,6,6,6,6,6
NZ,3,5,4,6,5,6,6,6,7,5,5,4
NZ,5,6,5,5,4,5,6,5,6,5,4,5
NZ,5,5,5,6,5,4,5,4,4,4,5,5
NZ,6,7,7,7,6,6,7,7,7,7,7,7
NZ,7,7,7,7,7,7,7,7,7,7,7,7
NZ,5,6,7,7,7,6,6,7,7,7,6,7
NZ,5,6,7,5,6,6,7,5,5,6,5,6
NZ,6,6,6,6,6,6,6,6,6,6,6,6
NZ,5,6,6,5,6,5,5,5,5,5,4,5
NZ,6,6,7,6,7,7,6,5,6,5,4,6
NZ,7,7,7,7,7,7,7,7,6,6,6,6
NZ,7,7,7,7,7,7,7,7,7,6,6,6
NZ,6,6,6,6,6,6,6,6,6,6,6,6
NZ,5,4,5,4,5,5,5,4,5,5,5,5
NZ,7,7,7,7,7,7,7,6,6,5,6,6
NZ,6,6,6,6,5,5,4,4,5,5,5,4
NZ,7,6,7,7,6,7,7,6,7,7,7,7
NZ,6,6,5,6,6,6,5,6,6,5,5,6
NZ,7,6,7,7,7,7,6,6,6,7,7,7
NZ,6,5,7,7,7,5,6,5,4,6,4,5
NZ,7,7,7,7,7,7,5,6,7,7,6,7
NZ,7,7,5,6,6,7,6,3,5,7,5,4
NZ,7,6,5,6,6,7,6,3,5,7,5,4
NZ,7,4,2,7,7,7,7,7,5,7,7,7
NZ,4,7,3,4,7,3,5,4,4,3,5,3
NZ,4,7,7,7,4,7,7,5,4,4,5,3
NZ,2,6,4,4,3,3,3,2,4,6,4,4
NZ,5,5,5,6,7,5,6,7,7,7,7,7
NZ,3,3,7,6,6,6,6,5,4,4,4,4
NZ,6,6,5,5,6,5,6,6,6,6,5,6
NZ,7,6,2,7,5,7,7,5,7,7,6,6
NZ,4,7,7,6,5,7,6,7,5,7,6,5
NZ,2,5,7,7,6,6,7,7,6,6,7,6
NZ,6,4,2,6,3,6,4,3,4,5,5,5
NZ,6,7,7,6,6,6,6,6,6,6,6,6
NZ,6,6,7,6,6,6,6,6,6,6,6,6
NZ,6,6,6,6,6,6,6,6,6,4,5,5
NZ,7,7,7,7,7,7,7,7,7,7,7,7
NZ,5,7,6,7,6,7,7,6,7,7,6,7
NZ,6,6,7,6,7,7,6,6,6,6,6,6
NZ,5,7,7,6,7,7,7,7,6,7,5,6
NZ,7,7,7,7,7,7,6,6,6,6,7,6
NZ,6,6,4,6,4,6,4,5,5,6,6,6
NZ,5,5,4,5,4,5,4,5,5,6,6,5
NZ,4,7,5,7,7,7,7,7,7,7,7,7
NZ,2,2,3,2,2,2,2,2,2,2,2,2
NZ,6,6,6,7,7,7,7,7,5,7,7,7
NZ,5,5,5,5,5,5,4,5,5,5,6,6
NZ,3,4,3,5,4,5,5,5,5,5,5,5
NZ,2,5,2,6,6,5,6,4,4,5,5,5
NZ,6,6,5,6,5,6,6,6,6,6,6,6
NZ,3,4,4,4,4,4,4,4,5,5,5,5
NZ,5,6,4,6,4,6,6,5,5,7,6,6
NZ,6,6,2,5,6,5,6,6,6,6,6,5
NZ,4,5,5,4,5,5,6,6,4,3,3,5
NZ,6,5,7,6,5,5,5,7,7,7,7,7
NZ,5,5,3,5,5,5,6,6,6,6,6,6
NZ,5,7,6,6,6,6,7,6,7,7,6,6
NZ,3,6,6,6,6,6,3,5,6,6,6,6
NZ,5,5,4,5,5,4,5,4,4,5,4,4
NZ,6,4,6,6,6,4,4,6,5,5,5,5
NZ,6,6,6,6,6,6,5,6,6,6,6,6
NZ,6,4,6,4,3,6,3,2,2,5,3,4
NZ,6,5,6,5,5,5,5,5,5,5,5,5
NZ,6,5,6,6,6,6,6,6,6,6,6,6
NZ,4,4,4,4,4,4,4,4,4,4,4,4
NZ,5,5,5,5,5,4,4,5,5,5,5,5
NZ,5,2,6,6,6,6,6,6,6,6,6,6
NZ,6,5,6,6,6,5,5,5,5,4,5,5
NZ,5,6,6,6,6,5,5,7,6,6,6,6
NZ,1,1,4,4,5,5,4,2,1,2,3,2
NZ,5,6,6,6,6,6,6,6,6,7,7,7
NZ,5,7,6,6,6,6,6,7,5,6,7,5
NZ,5,5,5,5,5,5,4,1,3,6,4,5
NZ,5,4,5,6,6,6,6,6,6,4,5,3
NZ,4,4,5,5,4,4,4,4,4,5,5,5
NZ,5,6,4,5,5,6,4,4,4,4,5,4
NZ,7,7,5,7,6,7,7,5,5,5,6,5
NZ,3,2,4,5,4,2,2,2,4,4,3,2
NZ,5,5,2,3,4,4,4,5,5,5,6,6
NZ,7,7,6,7,7,7,7,7,7,7,7,7
NZ,6,5,5,5,5,5,5,6,6,6,6,6
NZ,3,6,4,6,6,6,5,3,3,6,4,4
NZ,6,5,6,5,6,5,4,6,6,6,6,6
NZ,7,6,6,6,7,6,6,7,5,7,6,6
NZ,4,5,2,7,7,4,7,5,4,3,3,3
NZ,4,6,3,6,5,6,6,6,5,6,6,6
NZ,7,7,7,7,5,6,5,7,7,5,2,4
NZ,4,2,5,5,5,5,5,3,6,6,6,6
NZ,4,4,4,7,7,7,6,6,6,6,6,6
NZ,5,6,7,6,5,6,6,4,4,3,3,3
NZ,4,4,4,5,5,5,5,4,4,4,4,4
NZ,5,6,3,6,6,6,6,4,5,5,5,4
NZ,6,6,6,4,6,6,6,6,6,6,6,6
NZ,6,4,6,6,6,6,6,6,5,6,6,6
NZ,3,5,5,5,3,5,5,5,4,3,3,3
NZ,3,3,3,4,2,3,4,5,7,2,1,1
NZ,6,5,6,5,5,4,5,4,5,4,4,3
NZ,7,6,6,7,7,7,6,6,6,6,7,7
NZ,6,6,6,5,6,5,6,6,5,4,5,5
NZ,4,3,6,4,5,3,4,3,3,3,3,4
NZ,4,3,4,4,6,4,4,4,4,5,5,3
NZ,4,3,6,4,5,3,4,3,3,3,3,3
NZ,4,7,6,7,7,7,7,6,7,7,7,7
NZ,5,5,5,6,6,5,6,5,5,6,7,5
NZ,6,5,6,6,6,5,6,5,6,5,4,5
NZ,5,5,5,5,4,5,6,6,5,5,6,5
NZ,5,4,5,5,5,5,5,6,6,7,5,5
NZ,6,6,6,6,5,6,6,5,6,6,5,6
NZ,5,5,4,5,5,6,6,6,5,6,7,5
NZ,5,6,5,5,6,5,6,6,6,6,5,5
NZ,6,6,6,6,6,6,7,6,6,5,5,6
NZ,5,6,5,6,6,6,6,5,5,6,6,6
NZ,6,6,6,7,6,5,7,6,6,6,6,6
NZ,5,6,6,6,6,7,6,6,6,6,5,5
NZ,6,5,5,5,5,5,5,5,5,5,5,5
NZ,6,5,6,5,6,5,6,5,6,5,6,5
NZ,4,3,3,3,3,3,3,3,3,3,3,3
